Заголовок,Контент,Ссылка,Дата публикации,Категория
РБК: Минстрой подготовил законопроект о создании свободной экономической зоны в новых регионах,"Минстрой России разработал законопроект о создании свободной экономической зоны (СЭЗ) в Донецкой и Луганской народных республиках (ДНР и ЛНР), Запорожской и Херсонской областях. 20 марта документ получил одобрение на заседании правительственной комиссии по законопроектной деятельности, пишет РБК со ссылкой на источник.",https://www.kommersant.ru/doc/5887650,2023-03-21 08:30,Экономика
СКР возбудил дело против блогера Саши Митрошиной за уклонение от налогов на 120 млн рублей,В отношении блогера Александры Митрошиной возбудили дело по ч. 2 ст.,https://www.kommersant.ru/doc/5887649,2023-03-21 08:26,Происшествия
"Россия пока согласовывает с Сирией, Ираном и Турцией даты четырехсторонних консультаций","Россия не согласовывала дату четырехсторонних консультаций с Сирией, Ираном и Турцией, заявил «РИА Новости» замглавы МИД РФ Михаил Богданов. МИД Турции накануне заявил, что по просьбе Москвы консультации было решено перенести.",https://www.kommersant.ru/doc/5887646,2023-03-21 08:17,Мир
Wildberries запустит свой бренд электроники и бытовой техники,"Wildberries будет продавать смартфоны, телевизоры и холодильники под собственной торговой маркой (СТМ), сообщил «Ведомостям» представитель компании. Он заявил, что по своей стоимости продукция будет находиться «в среднем ценовом сегменте».",https://www.kommersant.ru/doc/5887645,2023-03-21 08:12,Бизнес
Иран рассчитывает на «огромные объемы» свопов нефти и газа из России в 2023 году,"Иран рассчитывает получить огромные объемы своповых поставок нефти и газа из России в этому году, сообщил иранский министр экономики и финансов Эхсан Хандузи. Какие конкретно объемы могут быть поставлены, он не уточнил.",https://www.kommersant.ru/doc/5887634,2023-03-21 07:49,Мир
"МИД РФ: США, Великобритания, Франция, ФРГ не могут быть посредниками в урегулировании по Украине","МИД России прокомментировал предложение экс-главы Мюнхенской конференции по безопасности Вольфганга Ишингера о создании контактной группы по Украине. Он предлагал включить в эту группу США, Великобританию, Францию и Германию.",https://www.kommersant.ru/doc/5887631,2023-03-21 07:34,Мир
"Шольц сообщил, что его телефонные разговоры c Путиным длились до полутора часов","Канцлер Германии Олаф Шольц заявил, что его телефонные переговоры с президентом России Владимиром Путиным иногда длились до полутора часов. Он добавил, что все беседы проходили в вежливом тоне.",https://www.kommersant.ru/doc/5887627,2023-03-21 07:22,Мир
Главные новости к утру 21 марта,Крымский Джанкой был атакован беспилотниками. Один человек получил ранения.,https://www.kommersant.ru/doc/5887628,2023-03-21 07:07,Топ главной
ЕС выплатил Международному уголовному суду €10 млн за «работу по Украине»,"Еврокомиссия с момента ввода войск РФ на Украину выделила Международному уголовному суду (МУС) больше €10 млн «в поддержку работы по Украине», сообщил еврокомиссар по вопросам юстиции Дидье Рейндерс. ЕК до 2025 года планирует направить суду еще €3 млн.",https://www.kommersant.ru/doc/5887626,2023-03-21 06:52,Мир
Bloomberg: Трампа не будут помещать в камеру в случае предъявления обвинений,"45-го президента США Дональда Трампа не будут заковывать в наручники и помещать в камеру, если против него будут выдвинуты обвинения, сообщил источник Bloomberg. Господин Трамп на прошлой неделе заявил, что его могут арестовать 21 марта.",https://www.kommersant.ru/doc/5887619,2023-03-21 06:35,Мир
