Заголовок,Контент,Ссылка,Дата публикации,Категория
Роспотребнадзор заявил о снижении заболеваемости гриппом и ОРВИ на 27% за неделю,"По итогам прошлой недели в России выявили 756 тыс. случаев заражения гриппом и ОРВИ. Это на 27% меньше по сравнению с предыдущей, сообщил Роспотребнадзор.",https://www.kommersant.ru/doc/5843439,2023-02-28 11:28,Общество
В Иркутске зафиксирован первый случай заболевания корью,"Управление Роспотребнадзора по Иркутской области сообщило о первом в регионе случае заболевания корью, зафиксированном в Иркутске. Как уточнили «Ъ» в ведомстве, это завозной случай, он отмечен у ребенка, в настоящее время уточняется круг контактных лиц.",https://www.kommersant.ru/doc/5843321,2023-02-28 11:28,Общество
Спрос на «Виагру» в России вырос за три дня на 50%,В течение трех дней после объявления о прекращении поставок «Виагры» в Россию спрос на препарат вырос на 50%. Об этом сообщил оператор системы маркировки «Честный знак» Центр развития перспективных технологий (ЦРПТ).,https://www.kommersant.ru/doc/5843309,2023-02-28 11:06,Бизнес
"Власти объявили о временном закрытии аэропорта Пулково, причины неизвестны","Аэропорт Пулково перестал принимать и отправлять самолеты, сообщило правительство Санкт-Петербурга в Telegram. После официальное сообщение было отредактировано.",https://www.kommersant.ru/doc/5843440,2023-02-28 11:05,Бизнес
В Адыгее упал неустановленный летательный аппарат,"В поселке Новый в Гиагинском районе Адыгеи ночью упал неустановленный летательный аппарат, сообщил глава республики Мурат Кумпилов. Пострадавших нет.",https://www.kommersant.ru/doc/5843311,2023-02-28 10:49,Общество
МЧС: из-за взлома в нескольких регионах по радио и телевизору объявили о воздушной тревоге,"В некоторых регионах России в эфире радио- и телеканалов прозвучала информация об объявлении воздушной тревоги, сообщило МЧС России. В ведомстве заявили, что информация была ложной, это произошло в результате взлома серверов радиостанций и телеканалов.",https://www.kommersant.ru/doc/5843301,2023-02-28 10:33,Общество
Возле посольства РФ в Берлине убрали подбитый российский танк,"Подбитый российский танк, установленный у посольства России в Берлине 24 февраля, в день годовщины ввода российских войск на Украину, убрали. По замыслу инициаторов акции, следующий танк должен быть выставлен в Нидерландах.",https://www.kommersant.ru/doc/5843290,2023-02-28 10:31,Мир
"«РИА Новости»: в Туапсе над нефтебазой, где произошел пожар, был замечен беспилотник","В районе нефтебазы «Роснефти» в Туапсе, где ночью 28 февраля произошел пожар, был замечен беспилотник, сообщили «РИА Новости» в экстренных службах. Площадь пожара составила 200 кв. м, нефтяные резервуары затронуты не были.",https://www.kommersant.ru/doc/5843299,2023-02-28 10:25,Происшествия
"В Белгороде беспилотник влетел в окно квартиры, никто не пострадал","Ночью 28 февраля БПЛА залетел в окно квартиры в многоэтажке в Белгороде. Жильцов дома эвакуировали, никто не пострадал, сообщил мэр Белгорода Валентин Демидов.",https://www.kommersant.ru/doc/5843282,2023-02-28 10:06,Общество
На Камчатке военнослужащего приговорили к восьми годам колонии за дезертирство,Суд на Камчатке признал виновным военнослужащего Тихоокеанского флота Сергея Владимирова в дезертирстве (ч. 3 ст.,https://www.kommersant.ru/doc/5843276,2023-02-28 10:03,Происшествия
Одну из крупнейших коллекций раритетной техники Apple выставят на продажу,"Собрание старой техники Apple 30 марта выставят на продажу на аукционе в Беверли-Хиллз в США. Ее можно будет приобрести как на самом аукционе, так и онлайн.",https://www.kommersant.ru/doc/5843283,2023-02-28 09:58,Новости
Spotify заменил лайк в виде сердечка на плюс,"Музыкальный стриминговый сервис Spotify поменял вид иконки, которая добавляла композицию или альбом в медиатеку пользователя. Теперь вместо сердечка пользователи будут нажимать на значок в виде плюса.",https://www.kommersant.ru/doc/5843279,2023-02-28 09:55,Новости
Google представила новые функции для операционных систем Android и Wear OS,"Американская корпорация Google в рамках конференции MWC 2023 в Барселоне представила ряд новых функций, которые появятся в операционных системах Android, Wear OS и Chrome OS. Среди них — управление масштабированием в браузере Chrome и более быстрый способ подключения наушников к Chromebook.",https://www.kommersant.ru/doc/5843018,2023-02-28 09:47,Hi-Tech
В Улан-Удэ предотвратили массовую драку подростков из «ЧВК Рёдан»,"В МВД по Бурятии сообщили, что предотвратили массовую драку с участием подростков возле ТЦ «Форум» в Улан-Удэ. Полиция получила информацию, что 80 предполагаемых членов «ЧВК Рёдан» хотели устроить драку у ТЦ.",https://www.kommersant.ru/doc/5843269,2023-02-28 09:46,Общество
Второй город в Крыму остался без воды из-за коммунальной аварии,"Авария произошла на магистральном водоводе в Красноперекопске в Крыму, город остался без воды, сообщили в региональном управлении информационной политики мининформа. В Красноперекопске живет около 25 тыс. человек.",https://www.kommersant.ru/doc/5843254,2023-02-28 09:29,Общество
Moody's: власти России могут прибегнуть к монетарному финансированию бюджета,"ВВП России сократится на 3% в 2023 году на фоне западных санкций, следует из среднесрочного прогноза по российской экономике международного рейтингового агентства Moody's. В агентстве полагают, что для стабилизации экономики правительство России будет прибегать к «неортодоксальной финансовой политике», в частности к монетарному финансированию бюджета (монетизации долга, когда ЦБ напрямую финансирует дефицит госбюджета), что, по мнению аналитиков агентства, может негативно сказаться на инфляции и макрофинансовой стабильности.",https://www.kommersant.ru/doc/5843246,2023-02-28 09:28,Экономика
Министр культуры Любимова рассказала о работе с Минобороны по формированию агитбригад,"Глава Министерства культуры Ольга Любимова рассказала, что ведомство «очень серьезно работает» с Минобороны над формированием агитбригад. Их работа, по ее словам, охватывает широкий спектр деятельности.",https://www.kommersant.ru/doc/5843245,2023-02-28 09:14,Общество
Брянский губернатор сообщил о сбитом над областью беспилотнике ВСУ,"Губернатор Брянской области Александр Богомаз сообщил, что 28 февраля над Суражским районом был сбит беспилотник вооруженных сил Украины. По его словам, пострадавших и разрушений на земле нет.",https://www.kommersant.ru/doc/5843248,2023-02-28 09:11,Общество
На нефтебазе «Роснефти» в Туапсе ночью произошел пожар,"На территории нефтебазы «Роснефти» в Туапсе ночью 28 февраля произошел пожар. Нефтяные резервуары не затронуты, разлива нефтепродуктов нет, возгорание уже ликвидировали, сообщили в пресс-службе МЧС по Краснодарскому краю.",https://www.kommersant.ru/doc/5843240,2023-02-28 09:02,Происшествия
В Евпатории из-за аварии на водоводе более 120 тыс. человек осталось без воды,"В районе Прибрежного в Евпатории произошла серьезная авария на водоводе, сообщила в Telegram глава администрации города Елена Демидова. По ее словам, в Евпатории ограничено водоснабжение, будет организован развоз питьевой воды.",https://www.kommersant.ru/doc/5843230,2023-02-28 08:52,Общество
Доллар упал ниже 74 руб./$,"Курс доллара в ходе торгов на Московской бирже опускался ниже 74 руб./$ впервые с 20 февраля. По состоянию на 8:17 доллар снижается на 0,39%, до 74,31 руб./$.",https://www.kommersant.ru/doc/5843228,2023-02-28 08:38,Бизнес
В Канаде запретили использовать TikTok на мобильных устройствах правительства,"В Канаде с сегодняшнего дня, 28 февраля, запретили использовать TikTok на всех государственных мобильных устройствах. Их пользователям также заблокируют возможность загрузки приложения в будущем.",https://www.kommersant.ru/doc/5843200,2023-02-28 08:32,Телекоммуникации
Посол РФ Антонов: США нарушают процедуры ДСНВ,"Власти США «многие годы» нарушали положения Договора о мерах по дальнейшему сокращению и ограничению стратегических наступательных вооружений (ДСНВ), утверждает посол РФ в Вашингтоне Анатолий Антонов. Также он отреагировал на высказывания помощницы госсекретаря США Мэллори Стюарт, которая призывала Москву возобновить участие в ДСНВ.",https://www.kommersant.ru/doc/5843216,2023-02-28 08:24,Мир
Начальник РХБЗ Кириллов обвинил США в намерении устроить провокацию с химикатами на Украине,"Начальник войск радиационной, химической и биологической защиты (РХБЗ) ВС РФ Игорь Кириллов на брифинге 28 февраля заявил, что США намерены организовать на Украине провокацию с использованием токсических веществ, а вину за это возложить на Россию. 21 февраля бывший посол США в России Джон Салливан выступал на семинаре вашингтонского Центра Вудро Вильсона.",https://www.kommersant.ru/doc/5843218,2023-02-28 08:09,Политика
Песков: Путин открыт для переговоров с Макроном и Шольцем,"Президент Владимир Путин готов к любым контактам, которые помогли бы России достичь целей, желательно мирным путем, заявил его пресс-секретарь Дмитрий Песков. Он утверждает, что от лидеров Германии и Франции в последнее время не исходило инициатив о контактах.",https://www.kommersant.ru/doc/5843207,2023-02-28 07:53,Мир
«РИА Новости»: спецназ РФ применяет в зоне военной операции новый комплекс с дронами-камикадзе,"Подразделения спецназа вооруженных сил РФ применяют на Украине новую разведывательно-ударную систему с малыми беспилотниками-камикадзе, сообщает «РИА Новости» со ссылкой на источник. По его словам, эти дроны могут автоматически выбирать маршрут к цели поражения.",https://www.kommersant.ru/doc/5843203,2023-02-28 07:41,Мир
«Яндекс Путешествия» запустили приложение для бронирования отелей и поиска авиабилетов,"Сервис «Яндекс Путешествия» запустил приложение для бронирования отелей и поиска авиабилетов по России и миру. В приложении доступно более 1 млн номеров отелей с фото и отзывами, а также маршруты «от сотен авиакомпаний», заявили в пресс-службе компании.",https://www.kommersant.ru/doc/5843195,2023-02-28 07:21,Бизнес
Главные новости к утру 28 февраля,"В 2022 году в России вышло на 10% меньше экземпляров газет и на 3,4% меньше журнальных номеров, чем в 2021-м, узнал «Ъ». Участники рынка связывают динамику с уходом ряда изданий по экономическим и политическим причинам.",https://www.kommersant.ru/doc/5843190,2023-02-28 06:54,Топ главной
С 1 марта в Гонконге отменят обязательное ношение масок,Глава администрации Гонконга Джон Ли объявил об отмене обязательного ношения масок в общественных местах с 1 марта. Основное антиковидное ограничение сохранится для персонала медицинских и некоторых административных учреждений.,https://www.kommersant.ru/doc/5843185,2023-02-28 06:17,Мир
